Questions,Answers
"What is the next number in the series: 2, 6, 12, 20, 30?", "42"
"If a car travels 120 km in 3 hours, what is its average speed in km/h?", "40 km/h"
"Simplify: 8 + 2 × (5 − 3) ÷ 2", "10"
"Find the greatest common divisor (GCD) of 36 and 60.", "12"
"What is 25% of 240?", "60"
"A man buys a pen for $10 and sells it for $15. What is his profit percentage?", "50%"
"If the ratio of the sides of a triangle is 3:4:5, what type of triangle is it?", "Right-angled triangle"
"A train 150 meters long passes a pole in 15 seconds. What is the speed of the train in km/h?", "36 km/h"
"Solve the equation: 2x + 3 = 11", "x = 4"
"What is the area of a rectangle with length 12 cm and width 8 cm?", "96 square cm"
"If 6 workers can complete a task in 10 days, how long will it take 15 workers to complete the same task?", "4 days"
"Find the simple interest on $1000 at a rate of 5% per annum for 2 years.", "$100"
"Convert 72% to a fraction in its simplest form.", "18/25"
"What is the square root of 169?", "13"
"If 5 pencils cost $1.50, what is the cost of 8 pencils?", "$2.40"
"A mixture contains milk and water in the ratio 3:2. If there are 30 liters of milk, how much water is there?", "20 liters"
"A person covers a distance of 90 km at a speed of 45 km/h. How much time will it take?", "2 hours"
"Solve the equation: 3y − 7 = 2y + 8", "y = 15"
"What is the sum of the first 10 natural numbers?", "55"
"If the cost price of an article is $150 and it is sold at a profit of 20%, what is the selling price?", "$180"
"Two pipes can fill a tank in 20 and 30 minutes respectively. How long will it take to fill the tank if both pipes are opened together?", "12 minutes"
"What is the probability of rolling a sum of 7 on two six-sided dice?", "1/6"
"If a number is divided by 2, the result is 10 more than when it is divided by 4. What is the number?", "40"
"A wheel makes 1000 revolutions in covering a distance of 88 km. What is the radius of the wheel?", "14 meters"
"If the price of a product increases by 25%, by what percentage should consumption decrease to keep the expenditure constant?", "20%"
"What is the angle between the minute hand and the hour hand of a clock at 3:15?", "7.5 degrees"
"If a = 3, b = 4, and c = 5, find the value of \(a^2 + b^2 - c^2\).", "8"
"Simplify: (4x − 3)(4x + 3)", "16x^2 − 9"
"If the sum of three consecutive even numbers is 54, what are the numbers?", "16, 18, 20"
"How many ways can 3 students be seated in a row of 5 chairs?", "60"
"If 8 workers can build a wall in 10 days, how many workers are needed to build the same wall in 5 days?", "16 workers"
"What is the value of \( \frac{5!}{3! \times 2!} \) ?", "10"
"If the length of a rectangle is increased by 10% and the width is decreased by 10%, what is the change in area?", "1% decrease"
"A sum of money doubles itself in 5 years at simple interest. What is the annual interest rate?", "20%"
"Find the median of the data set: 12, 15, 11, 14, 16", "14"
"If the speed of a boat in still water is 15 km/h and the speed of the current is 3 km/h, what is the boat's speed downstream?", "18 km/h"
"Simplify: \( (2^3) \times (2^4) \)", "128"
"A person invested $2000 at 5% compound interest per annum. What will be the amount after 2 years?", "$2205"
"How many prime numbers are there between 10 and 30?", "6"
